 v-sweep         v(vin)          v(vout)        
 3.32000000e-01  3.32000000e-01  1.49444431e+00 
 3.33000000e-01  3.33000000e-01  1.49436245e+00 
 3.34000000e-01  3.34000000e-01  1.49427977e+00 
 3.35000000e-01  3.35000000e-01  1.49419625e+00 
 3.36000000e-01  3.36000000e-01  1.49411190e+00 
 3.37000000e-01  3.37000000e-01  1.49402672e+00 
 3.38000000e-01  3.38000000e-01  1.49394069e+00 
 3.39000000e-01  3.39000000e-01  1.49385382e+00 
 3.40000000e-01  3.40000000e-01  1.49376609e+00 
 3.41000000e-01  3.41000000e-01  1.49367751e+00 
 3.42000000e-01  3.42000000e-01  1.49358806e+00 
 3.43000000e-01  3.43000000e-01  1.49349775e+00 
 3.44000000e-01  3.44000000e-01  1.49340657e+00 
 3.45000000e-01  3.45000000e-01  1.49331451e+00 
 3.46000000e-01  3.46000000e-01  1.49322157e+00 
 3.47000000e-01  3.47000000e-01  1.49312775e+00 
 3.48000000e-01  3.48000000e-01  1.49303303e+00 
 3.49000000e-01  3.49000000e-01  1.49293742e+00 
 3.50000000e-01  3.50000000e-01  1.49284091e+00 
 3.51000000e-01  3.51000000e-01  1.49274350e+00 
 3.52000000e-01  3.52000000e-01  1.49264517e+00 
 3.53000000e-01  3.53000000e-01  1.49254593e+00 
 3.54000000e-01  3.54000000e-01  1.49244577e+00 
 3.55000000e-01  3.55000000e-01  1.49234468e+00 
 3.56000000e-01  3.56000000e-01  1.49224267e+00 
 3.57000000e-01  3.57000000e-01  1.49213972e+00 
 3.58000000e-01  3.58000000e-01  1.49203582e+00 
 3.59000000e-01  3.59000000e-01  1.49193099e+00 
 3.60000000e-01  3.60000000e-01  1.49182520e+00 
 3.61000000e-01  3.61000000e-01  1.49171846e+00 
 3.62000000e-01  3.62000000e-01  1.49161075e+00 
 3.63000000e-01  3.63000000e-01  1.49150208e+00 
 3.64000000e-01  3.64000000e-01  1.49139244e+00 
 3.65000000e-01  3.65000000e-01  1.49128182e+00 
 3.66000000e-01  3.66000000e-01  1.49117022e+00 
 3.67000000e-01  3.67000000e-01  1.49105763e+00 
 3.68000000e-01  3.68000000e-01  1.49094405e+00 
 3.69000000e-01  3.69000000e-01  1.49082948e+00 
 3.70000000e-01  3.70000000e-01  1.49071390e+00 
 3.71000000e-01  3.71000000e-01  1.49059731e+00 
 3.72000000e-01  3.72000000e-01  1.49047971e+00 
 3.73000000e-01  3.73000000e-01  1.49036109e+00 
 3.74000000e-01  3.74000000e-01  1.49024144e+00 
 3.75000000e-01  3.75000000e-01  1.49012077e+00 
 3.76000000e-01  3.76000000e-01  1.48999906e+00 
 3.77000000e-01  3.77000000e-01  1.48987631e+00 
 3.78000000e-01  3.78000000e-01  1.48975251e+00 
 3.79000000e-01  3.79000000e-01  1.48962766e+00 
 3.80000000e-01  3.80000000e-01  1.48950176e+00 
 3.81000000e-01  3.81000000e-01  1.48937479e+00 
 3.82000000e-01  3.82000000e-01  1.48924675e+00 
 3.83000000e-01  3.83000000e-01  1.48911763e+00 
 3.84000000e-01  3.84000000e-01  1.48898744e+00 
 3.85000000e-01  3.85000000e-01  1.48885616e+00 
 3.86000000e-01  3.86000000e-01  1.48872379e+00 
 3.87000000e-01  3.87000000e-01  1.48859033e+00 
 3.88000000e-01  3.88000000e-01  1.48845576e+00 
 3.89000000e-01  3.89000000e-01  1.48832008e+00 
 3.90000000e-01  3.90000000e-01  1.48818328e+00 
 3.91000000e-01  3.91000000e-01  1.48804537e+00 
 3.92000000e-01  3.92000000e-01  1.48790633e+00 
 3.93000000e-01  3.93000000e-01  1.48776615e+00 
 3.94000000e-01  3.94000000e-01  1.48762484e+00 
 3.95000000e-01  3.95000000e-01  1.48748239e+00 
 3.96000000e-01  3.96000000e-01  1.48733878e+00 
 3.97000000e-01  3.97000000e-01  1.48719402e+00 
 3.98000000e-01  3.98000000e-01  1.48704809e+00 
 3.99000000e-01  3.99000000e-01  1.48690100e+00 
 4.00000000e-01  4.00000000e-01  1.48675273e+00 
