 time            v(vin)          v(vout)        
 1.96280000e-04  7.59435746e-01  3.43652458e-01 
 1.97280000e-04  7.59456367e-01  3.43455356e-01 
 1.98280000e-04  7.59476615e-01  3.43262689e-01 
 1.99280000e-04  7.59496488e-01  3.43073597e-01 
 2.00280000e-04  7.59515987e-01  3.42888674e-01 
 2.01280000e-04  7.59535110e-01  3.42707899e-01 
 2.02280000e-04  7.59553856e-01  3.42530687e-01 
 2.03280000e-04  7.59572226e-01  3.42357568e-01 
 2.04280000e-04  7.59590217e-01  3.42188523e-01 
 2.05280000e-04  7.59607830e-01  3.42023038e-01 
 2.06280000e-04  7.59625064e-01  3.41861726e-01 
 2.07280000e-04  7.59641917e-01  3.41703982e-01 
 2.08280000e-04  7.59658390e-01  3.41550217e-01 
 2.09280000e-04  7.59674482e-01  3.41400284e-01 
 2.10280000e-04  7.59690192e-01  3.41254162e-01 
 2.11280000e-04  7.59705519e-01  3.41111956e-01 
 2.12280000e-04  7.59720463e-01  3.40973306e-01 
 2.13280000e-04  7.59735023e-01  3.40838538e-01 
 2.14280000e-04  7.59749199e-01  3.40707536e-01 
 2.15280000e-04  7.59762990e-01  3.40580375e-01 
 2.16280000e-04  7.59776396e-01  3.40456768e-01 
 2.17280000e-04  7.59789416e-01  3.40336975e-01 
 2.18280000e-04  7.59802049e-01  3.40220901e-01 
 2.19280000e-04  7.59814295e-01  3.40108532e-01 
 2.19405000e-04  7.59815799e-01  3.40094814e-01 
 2.19655000e-04  7.59818788e-01  3.40067419e-01 
 2.20155000e-04  7.59824693e-01  3.40013294e-01 
 2.21155000e-04  7.59836212e-01  3.39907792e-01 
 2.22155000e-04  7.59847343e-01  3.39806019e-01 
 2.23155000e-04  7.59858086e-01  3.39707915e-01 
 2.24155000e-04  7.59868439e-01  3.39613471e-01 
 2.25155000e-04  7.59878402e-01  3.39522678e-01 
 2.26155000e-04  7.59887976e-01  3.39435527e-01 
 2.27155000e-04  7.59897159e-01  3.39352013e-01 
 2.28155000e-04  7.59905951e-01  3.39272126e-01 
 2.29155000e-04  7.59914353e-01  3.39195860e-01 
 2.30155000e-04  7.59922363e-01  3.39123209e-01 
 2.31155000e-04  7.59929981e-01  3.39054166e-01 
 2.32155000e-04  7.59937207e-01  3.38988724e-01 
 2.33155000e-04  7.59944041e-01  3.38926879e-01 
 2.34155000e-04  7.59950483e-01  3.38868645e-01 
 2.35155000e-04  7.59956531e-01  3.38813957e-01 
 2.36155000e-04  7.59962187e-01  3.38762869e-01 
 2.37155000e-04  7.59967449e-01  3.38715359e-01 
 2.38155000e-04  7.59972318e-01  3.38671421e-01 
 2.39155000e-04  7.59976793e-01  3.38631051e-01 
 2.40155000e-04  7.59980874e-01  3.38594255e-01 
 2.41155000e-04  7.59984561e-01  3.38561005e-01 
 2.42155000e-04  7.59987854e-01  3.38531322e-01 
 2.43155000e-04  7.59990753e-01  3.38505196e-01 
 2.44155000e-04  7.59993257e-01  3.38482624e-01 
 2.45155000e-04  7.59995367e-01  3.38463606e-01 
 2.46155000e-04  7.59997082e-01  3.38448136e-01 
 2.47155000e-04  7.59998402e-01  3.38436217e-01 
 2.48155000e-04  7.59999328e-01  3.38427846e-01 
